# Format:
# <GIT project name>,<bmp-config-repo file prefix>,<Jenkins pipeline prefix>
CenturyLink/BMOM-AccountProfileService,bmp-account-profile-service,BMOM_account_profile_service_build_CONTINUOUS
CenturyLink/BMOM-AccountTreatmentService,bmp-account-treatment-business-service,BMOM_account_treatment_business_service_build_CONTINUOUS
CenturyLink/BMOM-ArmorService,bmp-armor-business-service,BMOM_armor_business_service_build_CONTINUOUS
CenturyLink/BMOM-bbtcs-business-service,bmp-bbtcs-business-service,BMOM_bbtcs_business_service_build_CONTINUOUS
CenturyLink/BMOM-BillingOrderOrchestratorService,bmp-billing-order-orchestrator-business-service,BMOM_billing_order_orchestrator_business_service_build_CONTINUOUS
CenturyLink/BMOM-BMOMServiceRegistryService,bmp-bmom-service-registry-business-service,BMOM_bmom_service_registry_service_build_CONTINUOUS
CenturyLink/BMOM-CamundaMonitoringApp,bmp-camunda-monitoring-app,BMOM_camunda_monitoring_app_build_CONTINUOUS
CenturyLink/BMOM-CybersecurityService,cybersecurity-business-service,BMOM_cybersecurity_business_service_build_CONTINUOUS
CenturyLink/BMOM-DirectoryListingService,bmp-directory-listing-business-service,BMOM_directory_listing_business_service_build_CONTINUOUS
CenturyLink/BMOM-DirecttvOmService,bmp-directtv-om-service,BMOM_directtv_om_service_build_CONTINUOUS
CenturyLink/BMOM-DispatchService,bmp-dispatch-business-service,BMOM_order-dispatch-business-service_build_CONTINUOUS
CenturyLink/BMOM-DtvCorrectionService,bmp-dtv-correction-service,BMOM_dtv_correction_service_build_CONTINUOUS
CenturyLink/BMOM-DtvoptoutService,bmp-dtvoptout-business-service,BMOM_dtvoptout_business_service_build_CONTINUOUS
CenturyLink/BMOM-DtvTreatmentService,bmp-dtv-treatment-business-service,BMOM_dtv_treatment_business_service_build_CONTINUOUS
CenturyLink/BMOM-EmailProvisioningService,bmp-email-provisioning-business-service,BMOM_email_provisioning_business_service_build_CONTINUOUS
CenturyLink/BMOM-ews-business-service,bmp-ews-business-service,BMOM_ews_business_service_TEST4_CONTINUOUS
CenturyLink/BMOM-ExternalChannelInfoService,bmp-external-channel-info-service,BMOM_external_channel_info_service_build_CONTINUOUS
CenturyLink/BMOM-FfwfService,bmp-ffwf-business-service,BMOM_FFWF_business_service_build_CONTINUOUS
CenturyLink/BMOM-GmanGbusService,bmp-gman-gbus-business-service,BMOM_gman_gbus_business_service_build_CONTINUOUS
CenturyLink/BMOM-IsstService,bmp-isst-business-service,BMOM_isst_business_service_build_CONTINUOUS
CenturyLink/BMOM-JeopardyService,bmp-jeopardy-business-service,BMOM_Jeopardy_business_Service_build_CONTINUOUS
CenturyLink/BMOM-KafkaAdapter,bmp-kafka-adapter,BMOM_kafka_adapter_build_CONTINUOUS
CenturyLink/BMOM-KafkaAdapterInvokerService,bmp-kafka-adapter-invoker-service,BMOM_kafka_adapter_invoker_service_build_CONTINUOUS
CenturyLink/BMOM-KafkaSubscriber,bmom-kafka-subscriber,BMOM_kafka_subscriber_build_CONTINUOUS
CenturyLink/BMOM-KafkaToOracleService,bmp-kafka-to-oracle-service,BMOM_Kafka_to_Oracle_service_build_CONTINUOUS
